year,exp_rate,area
1954,41.00%,7
1955,51.00%,7
1956,68.00%,7
1957,31.00%,7
1958,54.00%,7
1959,21.00%,7
1960,52.00%,7
1961,54.00%,7
1962,74.00%,7
1963,50.00%,7
1964,58.00%,7
1965,78.00%,7
1966,64.00%,7
1967,23.00%,7
1968,54.00%,7
1969,11.00%,7
1970,69.00%,7
1971,31.00%,7
1972,78.00%,7
1973,56.00%,7
1974,71.00%,7
1975,54.00%,7
1976,61.00%,7
1977,45.00%,7
1978,51.00%,7
1979,46.00%,7
1980,60.00%,7
1981,69.00%,7
1982,44.00%,7
1983,17.00%,7
1984,34.00%,7
1985,65.00%,7
1986,71.00%,7
1987,64.00%,7
1988,51.00%,7
1989,41.00%,7
1990,41.00%,7
1991,30.00%,7
1992,14.00%,7
1993,4.00%,7
1994,3.00%,7
1995,13.00%,7
1996,5.00%,7
1997,8.00%,7
1998,2.00%,7
1999,15.00%,7
2000,1.00%,7
2001,23.00%,7
2002,14.00%,7
2003,10.00%,7
2004,23.00%,7
2005,7.00%,7
2006,8.00%,7
2007,2.00%,7
2008,0.00%,7
2009,0.00%,7
2010,0.00%,7
2011,3.00%,7
2012,6.00%,7
2013,4.00%,7
2014,17.00%,7
2015,22.00%,7
2016,10.00%,7
1954,67.00%,8
1955,25.00%,8
1956,46.00%,8
1957,29.00%,8
1958,64.00%,8
1959,35.00%,8
1960,38.00%,8
1961,48.00%,8
1962,67.00%,8
1963,64.00%,8
1964,71.00%,8
1965,63.00%,8
1966,60.00%,8
1967,30.00%,8
1968,64.00%,8
1969,16.00%,8
1970,66.00%,8
1971,9.00%,8
1972,35.00%,8
1973,20.00%,8
1974,57.00%,8
1975,30.00%,8
1976,48.00%,8
1977,17.00%,8
1978,33.00%,8
1979,29.00%,8
1980,28.00%,8
1981,61.00%,8
1982,9.00%,8
1983,27.00%,8
1984,8.00%,8
1985,23.00%,8
1986,33.00%,8
1987,42.00%,8
1988,65.00%,8
1989,3.00%,8
1990,47.00%,8
1991,3.00%,8
1992,29.00%,8
1993,13.00%,8
1994,45.00%,8
1995,20.00%,8
1996,10.00%,8
1997,16.00%,8
1998,30.00%,8
1999,8.00%,8
2000,3.00%,8
2001,18.00%,8
2002,25.00%,8
2003,27.00%,8
2004,22.00%,8
2005,28.00%,8
2006,12.00%,8
2007,15.00%,8
2008,1.00%,8
2009,6.00%,8
2010,0.00%,8
2011,0.00%,8
2012,2.00%,8
2013,23.00%,8
2014,24.00%,8
2015,24.00%,8
2016,28.00%,8
1954,75.00%,9
1955,90.00%,9
1956,42.00%,9
1957,81.00%,9
1958,74.00%,9
1959,48.00%,9
1960,92.00%,9
1961,80.00%,9
1962,77.00%,9
1963,58.00%,9
1964,67.00%,9
1965,48.00%,9
1966,58.00%,9
1967,95.00%,9
1968,91.00%,9
1969,99.00%,9
1970,46.00%,9
1971,33.00%,9
1972,51.00%,9
1973,72.00%,9
1974,61.00%,9
1975,16.00%,9
1976,62.00%,9
1977,88.00%,9
1978,70.00%,9
1979,26.00%,9
1980,7.00%,9
1981,42.00%,9
1982,1.00%,9
1983,14.00%,9
1984,29.00%,9
1985,25.00%,9
1986,25.00%,9
1987,39.00%,9
1988,30.00%,9
1989,13.00%,9
1990,29.00%,9
1991,22.00%,9
1992,42.00%,9
1993,14.00%,9
1994,14.00%,9
1995,14.00%,9
1996,0.00%,9
1997,0.00%,9
1998,0.00%,9
1999,0.00%,9
2000,0.00%,9
2001,0.00%,9
2002,0.00%,9
2003,0.00%,9
2004,0.00%,9
2005,0.00%,9
2006,0.00%,9
2007,0.00%,9
2008,0.00%,9
2009,0.00%,9
2010,0.00%,9
2011,0.00%,9
2012,0.00%,9
2013,0.00%,9
2014,0.00%,9
2015,,9
2016,,9
1954,55.00%,10
1955,40.00%,10
1956,32.00%,10
1957,51.00%,10
1958,91.00%,10
1959,34.00%,10
1960,84.00%,10
1961,77.00%,10
1962,73.00%,10
1963,35.00%,10
1964,96.00%,10
1965,71.00%,10
1966,79.00%,10
1967,97.00%,10
1968,88.00%,10
1969,91.00%,10
1970,74.00%,10
1971,37.00%,10
1972,79.00%,10
1973,54.00%,10
1974,70.00%,10
1975,72.00%,10
1976,57.00%,10
1977,43.00%,10
1978,40.00%,10
1979,22.00%,10
1980,42.00%,10
1981,34.00%,10
1982,23.00%,10
1983,20.00%,10
1984,46.00%,10
1985,32.00%,10
1986,49.00%,10
1987,45.00%,10
1988,69.00%,10
1989,20.00%,10
1990,72.00%,10
1991,32.00%,10
1992,96.00%,10
1993,45.00%,10
1994,78.00%,10
1995,4.00%,10
1996,5.00%,10
1997,0.00%,10
1998,0.00%,10
1999,,10
2000,0.00%,10
2001,,10
2002,0.00%,10
2003,0.00%,10
2004,,10
2005,0.00%,10
2006,0.00%,10
2007,0.00%,10
2008,0.00%,10
2009,0.00%,10
2010,,10
2011,,10
2012,,10
2013,,10
2014,,10
2015,,10
2016,,10
