"","Facility_reference_number","License_holder","Site_common_name","Fish_health_zone","Month","Number_of_counts_performed","L.salmonis_motile","L.salmonis_motile_audit","L.salmonis_female","L.salmonis_female_aduit","Chalimus","Chalimus_audit","Caligus","Caligus_audit","Comments","Year_class"
"19","AQ1148","Mainstream Canada","Binns Island","2.3","January","2","0",NA,"0",NA,"0",NA,"0",NA,NA,"1"
"20","AQ234","Mainstream Canada","Dixon","2.3","January","2","0.1",NA,"0.1",NA,"0.1",NA,"0.2",NA,NA,"2"
"21","AQ540","Mainstream Canada","Fortune","2.3","January","2","0.4",NA,"0.3",NA,"0",NA,"0",NA,NA,"2"
"22","AQ1291","Mainstream Canada","McIntyre Lake","2.3","January","2","0.1",NA,"0.1",NA,"0",NA,"0",NA,NA,"2"
"23","AQ1507","Mainstream Canada","Millar","2.3","January","2","0.1",NA,"0",NA,"8.2",NA,"0",NA,NA,"1"
"24","AQ526","Mainstream Canada","Rant Pt","2.3","January","2","0.2",NA,"0.1",NA,"0.1",NA,"0.2",NA,NA,"2"
"25","AQ314","Mainstream Canada","Ross Pass","2.3","January","2","0.2",NA,"0.1",NA,"0.9",NA,"0.4",NA,NA,"1"
"26","AQ1472","Mainstream Canada","West Side","2.3","January","2","0",NA,"0",NA,"0",NA,"0",NA,NA,"1"
"28","AQ1738","Grieg Seafood","Atrevida","2.4","January","1","0.1",NA,"0",NA,"0",NA,"0",NA,NA,"1"
"29","AQ1863","Grieg Seafood","Esperanza","2.4","January","1","0.5",NA,"0.1",NA,"0.1",NA,"0",NA,NA,"2"
"30","AQ1849","Grieg Seafood","Muchalat N","2.4","January","1","0.1",NA,"0.1",NA,"0",NA,"0",NA,NA,"2"
"31","AQ1079","Grieg Seafood","Steamer Pt","2.4","January","1","0.3",NA,"0.1",NA,"0",NA,"0",NA,NA,"2"
"32","AQ1705","Grieg Seafood","Williamson","2.4","January","1","0.8",NA,"0.5",NA,"0",NA,"0",NA,NA,"2"
"33","AQ1376","Marine Harvest","Cleagh Crk","2.4","January","2","2.6",NA,"0.6",NA,"0.8",NA,"0.6",NA,NA,"1"
"34","AQ1238","Marine Harvest","Koskimo Bay","2.4","January","1","0.7",NA,"0.5",NA,"0",NA,"0",NA,NA,"2"
"35","AQ1338","Marine Harvest","Mahatta E","2.4","January","1","0",NA,"0",NA,"0.1",NA,"0",NA,NA,"2"
"36","AQ1238","Marine Harvest","Mahatta W","2.4","January","1","0.3",NA,"0.2",NA,"0",NA,"0",NA,NA,"2"
"37","AQ1237","Marine Harvest","Monday Rocks","2.4","January","1","16.8",NA,"7.5",NA,"0.6",NA,"0.3",NA,"harvesting","2"
"39","AQ1698","Grieg Seafood","Ahlstrom","3.1","January","1","1",NA,"0.4",NA,"0",NA,"0",NA,NA,"1"
