year,week,farm_name,all_lep,log_all_lep
2001,NA,NA,12.599024621113735,1.1003369246362427
2002,NA,NA,5.350286652314244,0.7283770508405369
2003,NA,NA,0.7064547248083723,-0.15091566593990965
2004,NA,NA,5.747923187264179,0.7595109557791321
2005,NA,NA,2.5246194260831083,0.4021959196391969
2006,NA,NA,0.6160690397556843,-0.21037061591218467
2007,NA,NA,0.5253624546459946,-0.2795409675657492
2008,NA,NA,0.37320265475279213,-0.4280552755890218
2009,NA,NA,0.0804285128197757,-1.0945899616360917
2010,NA,NA,0.5038369792577275,-0.2977099605016582
2011,NA,NA,0.14455815302467356,-0.8399574092594984
2012,NA,NA,0.35167404666495017,-0.4538596811743848
2013,NA,NA,0.24729228493981284,-0.6067894326089116
2014,NA,NA,0.18989104307057128,-0.721495519922099
2015,NA,NA,1.3726741126380282,0.1375674433677198
2016,NA,NA,0.4239725549372659,-0.37266225573056294
2017,NA,NA,0.47210670141558986,-0.32595983484272206
2018,NA,NA,0.1484963077775767,-0.8282843445404331
2019,NA,NA,0.7400894826488482,-0.13071576747013725
2020,NA,NA,0.30717249692712484,-0.5126176719982696
2021,NA,NA,0.7753562168643506,-0.11049872655691029
