lep_av,cal_av,farm,year,month
0.166666666666667,0.166666666666667,Arrow Passage,2005,1
0.416666666666667,0.416666666666667,Arrow Passage,2005,2
0.608333333333333,0.433333333333333,Arrow Passage,2005,3
0.983333333333333,0.375,Arrow Passage,2005,4
1.31666666666667,0.866666666666667,Arrow Passage,2005,5
1.2,0.616666666666667,Arrow Passage,2005,6
1.35,0.8,Arrow Passage,2005,7
0.4,0,Arrow Passage,2005,8
0,0.05,Arrow Passage,2005,9
0.4,0.125,Arrow Passage,2006,1
0.55,0.1,Arrow Passage,2006,2
0.55,0.266666666666667,Arrow Passage,2006,3
0.433333333333333,0.0833333333333333,Arrow Passage,2006,4
0.55,0.0375,Arrow Passage,2006,5
0.483333333333333,0.133333333333333,Arrow Passage,2006,6
0.466666666666667,0.216666666666667,Arrow Passage,2006,7
0.275,0.1,Arrow Passage,2007,1
0.6,0.433333333333333,Arrow Passage,2007,3
0.883333333333333,1.01666666666667,Arrow Passage,2007,4
0.233333333333333,0.383333333333333,Arrow Passage,2007,5
0.4,0.416666666666667,Arrow Passage,2007,6
0.075,0.325,Arrow Passage,2007,7
0.0833333333333333,0.116666666666667,Arrow Passage,2007,8
0.0833333333333333,0.266666666666667,Arrow Passage,2008,1
0.0666666666666667,0.0333333333333333,Arrow Passage,2008,2
0.2,0.1,Arrow Passage,2008,3
0.0166666666666667,0.1,Arrow Passage,2008,4
0.283333333333333,0.0333333333333333,Arrow Passage,2008,5
0.133333333333333,0.283333333333333,Arrow Passage,2008,6
0.0666666666666667,0,Arrow Passage,2008,7
0.3,0.783333333333333,Arrow Passage,2009,1
0.3,0.366666666666667,Arrow Passage,2009,2
0.116666666666667,0.883333333333333,Arrow Passage,2009,3
0.183333333333333,0.25,Arrow Passage,2009,4
0.25,0.916666666666667,Arrow Passage,2009,5
0.133333333333333,1.1,Arrow Passage,2009,6
0.05,0.0666666666666667,Arrow Passage,2009,7
0.283333333333333,0.133333333333333,Arrow Passage,2009,8
0.516666666666667,0.05,Arrow Passage,2010,3
0.616666666666667,0.133333333333333,Arrow Passage,2010,4
0.2,0.116666666666667,Arrow Passage,2010,5
0.866666666666667,0.433333333333333,Arrow Passage,2010,6
0.2,1.41666666666667,Arrow Passage,2010,7
0.0666666666666667,0.15,Arrow Passage,2010,11
0.15,0.15,Arrow Passage,2010,12
0.25,0.05,Arrow Passage,2011,1
0.35,0.266666666666667,Arrow Passage,2011,2
0.266666666666667,0.266666666666667,Arrow Passage,2011,3
0.233333333333333,0.4,Arrow Passage,2011,4
0.133333333333333,0.108333333333333,Arrow Passage,2011,5
0.258333333333333,0.075,Arrow Passage,2011,6
1.68333333333333,1.01666666666667,Burdwood,2003,10
1.5,0.3,Burdwood,2003,11
2.13333333333333,0.716666666666667,Burdwood,2003,12
0.0666666666666667,0,Burdwood,2004,1
0,0,Burdwood,2004,2
0,0.05,Burdwood,2004,3
0.0333333333333333,0.0833333333333333,Burdwood,2004,4
0.533333333333333,0.641666666666667,Burdwood,2004,5
4.51666666666667,0.191666666666667,Burdwood,2004,6
2.65079365079365,0.174603174603175,Burdwood,2004,7
4.90476190476191,0.19047619047619,Burdwood,2004,8
3.11111111111111,1.12698412698413,Burdwood,2004,10
3.25,0,Burdwood,2004,11
3.81666666666667,0.616666666666667,Burdwood,2004,12
5.73333333333333,0.8,Burdwood,2005,1
5.46666666666667,0.133333333333333,Burdwood,2005,2
0.166666666666667,0.0166666666666667,Burdwood,2005,3
0.9,0.05,Burdwood,2005,4
0.0833333333333333,0.0166666666666667,Burdwood,2005,7
0.233333333333333,0.116666666666667,Burdwood,2005,8
1.2,0.15,Burdwood,2005,9
2.61666666666667,0.766666666666667,Burdwood,2005,10
2.71666666666667,0.0666666666666667,Burdwood,2005,11
4.38333333333333,0.733333333333333,Burdwood,2005,12
5.88333333333333,0.183333333333333,Burdwood,2006,1
1.33333333333333,0,Burdwood,2006,2
0.283333333333333,0.0166666666666667,Burdwood,2006,3
0,0,Burdwood,2006,4
0.0166666666666667,0.0166666666666667,Burdwood,2006,5
0.183333333333333,0.0166666666666667,Burdwood,2006,6
0.0833333333333333,0,Burdwood,2006,7
