ref,company,name,,Latitude,Longitude,zone,status_2018
78,MOWI Canada West,Phillips Arm,,50.48825,-125.35658,3.2,Active
100,MOWI Canada West,Lees Bay,,50.41063,-125.70029,3.2,Active
112,Golden Eagle Sable Fish,Centre Cove,,50.01736,-127.19165,2.4,Active
136,Cermaq Canada,Cliff Bay,,50.83433,-126.499,3.3,Fallow
137,Marine Harvest Canada Inc.,Conville Bay,,50.18057,-125.14933,3.2,Expired
138,MOWI Canada West,Dunsterville,,50.14512,-125.15171,3.2,Fallow
141,MOWI Canada West,Port Elizabeth,,50.67099,-126.47653,3.3,Active
143,MOWI Canada West,Larsen Island,,50.60175,-126.63284,3.3,Active
144,MOWI Canada West,Koskimo,,50.45861,-127.88988,2.4,Active
169,Cermaq Canada,Barkley,,48.9431,-124.98704,2.3,Fallow
211,MOWI Canada West,Okisollo,,50.30946,-125.31618,3.2,Active
216,Yellow Island Aquaculture,Yellow Island,,50.13274,-125.33268,3.2,Active
221,Grieg Seafood BC,Vantage,,49.67226,-123.86019,3.1,Active
224,Cermaq Canada,San Mateo,,48.93938,-124.99239,2.3,Fallow
227,Cermaq Canada,Bawden,,49.30798,-126.00721,2.3,Active
233,Creative Salmon Company,Indian Bay,,49.11916,-125.72549,2.3,Active
234,Cermaq Canada,Dixon Bay,,49.40478,-126.15072,2.3,Active
244,Creative Salmon Company,Eagle Bay,,49.12945,-125.71093,2.3,Fallow
247,Totem Sea Farm Inc.,St. Vincent Bay,,49.83487,-124.05292,3.1,Fallow
270,Omega Pacific,Jane Bay,,49.00306,-125.15692,2.3,Fallow
303,MOWI Canada West,Glacial Creek,,50.01008,-123.90241,3.1,Active
304,Cermaq Canada,Raza Island,,50.32159,-125.00882,3.2,Active
306,Cermaq Canada,Venture Point,,50.30241,-125.33778,3.2,Active
314,Cermaq Canada,Ross Pass,,49.32437,-126.04849,2.3,Active
332,Grieg Seafood BC,Salten,,49.61535,-123.83407,3.1,Active
377,MOWI Canada West,Bickley Bay,,50.45308,-125.39642,3.2,Fallow
378,MOWI Canada West,Thurlow,,50.40808,-125.34088,3.2,Fallow
380,MOWI Canada West,Sonora Point,,50.42362,-125.30517,3.2,Active
388,MOWI Canada West,Brougham Point,,50.37192,-125.3799,3.2,Fallow
408,Grieg Seafood BC,Kunechin,,49.6339,-123.78337,3.1,Fallow
412,Grieg Seafood BC,Site 9,,49.64612,-123.72455,3.1,Fallow
456,Saltstream Engineering,Doctor Bay,,50.2521,-124.81957,3.2,Active
458,Cermaq Canada,Cypress Harbour,,50.83772,-126.66313,3.3,Active
465,MOWI Canada West,Swanson,,50.61871,-126.70473,3.3,Active
466,MOWI Canada West,Arrow Pass,,50.70973,-126.662,3.3,Fallow
467,MOWI Canada West,Midsummer,,50.65784,-126.66298,3.3,Active
520,Cermaq Canada,Bedwell,,49.26548,-125.81247,2.3,Active
526,Cermaq Canada,Rant Point,,49.2567,-125.84153,2.3,Active
527,Cermaq Canada,Saranac Island,,49.24803,-125.90671,2.3,Active
