esc,river,year,area,exp
500,QUATLENA RIVER,1954,8,67.00%
750,LAGOON CREEK,1954,7,41.00%
NA,PHYLLIS LAKE CREEK,1954,12,0.282936634700165
1500,WATSON BAY CREEK,1954,7,41.00%
750,MATSIU CREEK,1954,12,0.282936634700165
35000,KEOGH RIVER,1954,12,0.282936634700165
NA,ATNARKO SPAWNING CHANNEL,1954,8,67.00%
750,NECLEETSCONNAY RIVER,1954,8,67.00%
NA,MCALISTER CREEK,1954,12,0.282936634700165
200,CANYON CREEK,1954,7,41.00%
3500,CHAMISS CREEK,1954,7,41.00%
NA,ROBINSON CREEKS,1954,7,41.00%
NA,ELLERSLIE LAGOON CREEK,1954,7,41.00%
3000,ROSCOE CREEK,1954,7,41.00%
NA,HAUSER CREEK,1954,7,41.00%
750,WINDY BAY CREEK,1954,7,41.00%
NA,KENNETH RIVER,1954,12,0.282936634700165
NA,GRASSY BAY CREEK,1954,8,67.00%
7500,CASCADE RIVER,1954,8,67.00%
NA,COLD CREEK,1954,8,67.00%
15000,COOPER INLET CREEKS,1954,7,41.00%
NA,STEELHEAD CREEK,1954,8,67.00%
NA,YOUNG RIVER,1954,9,75.00%
NA,WAHKASH CREEK,1954,12,0.282936634700165
NA,SANDELL RIVER,1954,9,75.00%
30000,SALMON BAY CREEK,1954,7,41.00%
9000,QUARTCHA CREEK,1954,7,41.00%
NA,WATT CREEK,1954,7,41.00%
200,POISON COVE CREEK,1954,7,41.00%
750,GOAT BUSHU CREEK,1954,7,41.00%
200,"NAMU RIVER",1954,8,67.00%
NA,WINDFALL CREEK,1954,7,41.00%
NA,HOCHSTADER BASIN CREEKS (2),1954,7,41.00%
25,NEW VANCOUVER CREEK,1954,12,0.282936634700165
NA,FOUR LAKES CREEK,1954,8,67.00%
7500,SAGAR CREEK,1954,8,67.00%
3500,KOKISH RIVER,1954,12,0.282936634700165
NA,TSULTON RIVER,1954,12,0.282936634700165
NA,LOCKHART GORDON CREEK,1954,9,75.00%
15000,VINER SOUND CREEK,1954,12,0.282936634700165
NA,RETURN CHANNEL CREEKS,1954,7,41.00%
1500,WEBSTER LAKE CREEK,1954,7,41.00%
NA,DORIS CREEK,1954,9,75.00%
2000,DEAN RIVER,1954,8,67.00%
NA,PENO CREEK,1954,7,41.00%
NA,DRANEY CREEK,1954,9,75.00%
0,GENESEE CREEK,1954,9,75.00%
15000,AHTA RIVER,1954,12,0.282936634700165
NA,HOGAN CREEK,1954,9,75.00%
NA,ATNARKO RIVER,1954,8,67.00%
20000,KWATNA RIVER,1954,8,67.00%
3500,CARTER RIVER,1954,7,41.00%
3500,AHTA VALLEY CREEK,1954,12,0.282936634700165
20000,NEEKAS CREEK,1954,7,41.00%
750,KWALATE CREEK,1954,12,0.282936634700165
7500,HOEYA SOUND CREEK,1954,12,0.282936634700165
NA,HYCUND CREEK,1954,12,0.282936634700165
400,NOEICK RIVER,1954,8,67.00%
3500,TSULQUATE RIVER,1954,12,0.282936634700165
7500,SHUSHARTIE RIVER,1954,12,0.282936634700165
0,BIG BAY CREEK,1954,7,41.00%
3500,LARD CREEK,1954,7,41.00%
NA,BEAVER CREEK,1954,9,75.00%
400,WALKER LAKE CREEK,1954,7,41.00%
NA,CHOKE PASS CREEKS (3),1954,7,41.00%
NA,PERRY CREEK,1954,9,75.00%
100,CLYAK RIVER,1954,9,75.00%
25,NIGGER CREEK,1954,12,0.282936634700165
NA,CREASY BAY RIVER,1954,12,0.282936634700165
NA,SALLIE CREEK,1954,12,0.282936634700165
15000,GLENDALE CREEK,1954,12,0.282936634700165
NA,HAUSKIN CREEK,1954,12,0.282936634700165
NA,TUNA RIVER,1954,12,0.282936634700165
1500,FULMORE RIVER,1954,12,0.282936634700165
400,KITASU CREEK,1954,7,41.00%
NA,QUATSESE RIVER,1954,12,0.282936634700165
15000,ADAM RIVER,1954,12,0.282936634700165
3500,NIMPKISH RIVER,1954,12,0.282936634700165
7500,KIMSQUIT RIVER,1954,8,67.00%
NA,ICY RIVER,1954,12,0.282936634700165
NA,GREEN RIVER,1954,8,67.00%
1500,KAMANO BAY CREEK,1954,12,0.282936634700165
NA,TANCRED CREEK,1954,12,0.282936634700165
NA,WALDEN CREEK II,1954,12,0.282936634700165
NA,RAINBOW CREEK,1954,7,41.00%
70000,KOEYE RIVER,1954,8,67.00%
NA,NIEL CREEK,1954,9,75.00%
400,GEISH CREEK,1954,7,41.00%
NA,KILPALA RIVER,1954,12,0.282936634700165
10000,KADJUSDIS RIVER,1954,7,41.00%
NA,BUGHOUSE CREEK,1954,12,0.282936634700165
1500,HIRD POINT CREEK,1954,7,41.00%
3500,BOTTLENECK CREEK,1954,7,41.00%
NA,RESCUE BAY CREEKS,1954,7,41.00%
NA,OATSOALIS CREEK,1954,9,75.00%
3500,PINE RIVER,1954,7,41.00%
NA,DALLERY CREEK,1954,9,75.00%
400,KORICH CREEK,1954,7,41.00%
NA,NEKITE SPAWNING CHANNEL,1954,10,55.00%
NA,SNOOTLI CREEK,1954,8,67.00%
5000,NEKITE RIVER,1954,10,55.00%
NA,CARRIDEN CREEK,1954,12,0.282936634700165
0,LILIAN CREEK,1954,7,41.00%
15000,WAKEMAN RIVER,1954,12,0.282936634700165
7500,QUATSE RIVER,1954,12,0.282936634700165
NA,MILLS CREEK,1954,12,0.282936634700165
NA,EVE RIVER,1954,12,0.282936634700165
1500,MACKENZIE RIVER,1954,12,0.282936634700165
400,MCLOUGHLIN CREEK,1954,7,41.00%
1500,CRAB HARBOUR CREEK,1954,8,67.00%
NA,MACHMELL RIVER,1954,9,75.00%
NA,CANOE CREEK,1954,10,55.00%
NA,SOUND POINT LAGOON CREEK,1954,7,41.00%
50,MACNAIR CREEK,1954,9,75.00%
5500,JAMES BAY CREEK,1954,7,41.00%
NA,GARBAGE DUMP CREEK,1954,8,67.00%
7500,"NAHWITTI RIVER",1954,12,0.282936634700165
NA,"NAYSASH CREEK",1954,10,55.00%
NA,NIEUMIAMUS CREEK,1954,8,67.00%
7500,STRANDBY RIVER,1954,12,0.282936634700165
200,ASSEEK RIVER,1954,8,67.00%
8500,ELCHO CREEK,1954,8,67.00%
7500,CLUXEWE RIVER,1954,12,0.282936634700165
1500,DUTHIE CREEK,1954,7,41.00%
NA,SKIMLETS CREEK,1954,8,67.00%
NA,TASTSQUAN CREEK,1954,8,67.00%
NA,HAGENSBORG SLOUGH,1954,8,67.00%
NA,TZEO RIVER,1954,9,75.00%
NA,CHUCKWALLA RIVER,1954,9,75.00%
NA,SMOKEHOUSE CREEK,1954,10,55.00%
NA,NEECHANZ RIVER,1954,9,75.00%
400,SIM RIVER,1954,12,0.282936634700165
NA,BOND RIVER NO. 1,1954,12,0.282936634700165
NA,BULLOCK CHANNEL #2 CREEK,1954,7,41.00%
NA,MAPLE CREEK,1954,12,0.282936634700165
25,HYDE CREEK,1954,12,0.282936634700165
NA,THIRD CREEK,1954,8,67.00%
NA,KWAKIUTL CREEK,1954,7,41.00%
NA,WALKER ISLAND CREEK,1954,8,67.00%
1000,WALKUM CREEK,1954,10,55.00%
NA,AIRPORT SIDE CHANNEL,1954,8,67.00%
NA,MARGARET CREEK,1954,10,55.00%
NA,CHIC CHIC CREEK,1954,10,55.00%
500,KILBELLA RIVER,1954,9,75.00%
NA,BULLOCK CHANNEL #3 NORTH CREEK,1954,7,41.00%
75000,KAKWEIKEN RIVER,1954,12,0.282936634700165
NA,FANNIE COVE LEFT HAND CREEK,1954,7,41.00%
3500,SALLY CREEK,1954,7,41.00%
NA,SHOAL HARBOUR CREEK,1954,12,0.282936634700165
6500,"NAMELESS CREEK",1954,7,41.00%
90000,KAINET CREEK,1954,7,41.00%
5000,JOHNSTON CREEK,1954,9,75.00%
NA,OWIKENO LAKE,1954,9,75.00%
NA,HAGEN CREEK,1954,10,55.00%
75,LEE CREEK,1954,7,41.00%
